Id,Name,Genre,Platform_y,Publisher_y,Critic_Score,Year,RAWG Score,Description
15,New Super Mario Bros. Wii,Platform,Wii,Nintendo,8.6,2009.0,3.95,"Run and jump to your way to fun with Mario™ &amp; friends!
Play together with up to 4 friends or family members
Rediscover legendary 2D gameplay loved by millions
Fun, simple controls—just like classic Mario games
Developers at Nintendo have dreamed of creating a simultaneous<br />
multiplayer Super Mario Bros.™ game for decades. The Wii console<br />
finally makes that dream come true for everyone. Now players can<br />
navigate the side-scrolling worlds alone as before or invite up to three<br />
others to join them at the same time on the same level at any point in<br />
the game for competitive and cooperative multiplayer fun. With the<br />
multiplayer mode, the newest installment of the most popular video game<br />
franchise is designed to bring yet another type of family entertainment<br />
into living rooms and engage groups of friends in fast-paced Super<br />
Mario Bros. fun.
New Super Mario Bros. Wii offers a combination of cooperation<br />
and competition. Players can pick each other up to save them from<br />
danger or toss them into it.
Mario™, Luigi™ and two Toads are all playable characters, while many<br />
others from the Mushroom Kingdom make appearances throughout the game.<br />
Players can even ride different Yoshi characters and use their tongues<br />
to swallow enemies, items and even balls of fire.
In some areas, players use the motion abilities of the Wii Remote™<br />
controller. The first player to reach a seesaw might make it tilt to<br />
help his or her character reach a higher platform – or might make it<br />
tilt incorrectly just to mess with other players.
New items include the propeller suit, which will shoot players high<br />
into the sky with just a shake of the Wii Remote, and Mario’s new<br />
ability to transform into Penguin Mario.
At the end of each stage during the coin battle multiplayer mode,<br />
players are ranked based on the number of coins they have collected.
*MSRP: Manufacturer&#39;s Suggested Retail Price. Actual price may vary. See<br />
retailer for details."
16,Tetris,Puzzle,GB,Nintendo,,1989.0,4.34,"Tetris (Russian: Тетрис [ˈtɛtrʲɪs]) is a tile-matching puzzle video game, originally designed and programmed by Russian game designer Alexey Pajitnov. It was released on June 6, 1984, while he was working for the Dorodnitsyn Computing Centre of the Academy of Science of the Soviet Union in Moscow. He derived its name from the Greek numerical prefix tetra- (all of the game&#39;s pieces contain four segments) and tennis, Pajitnov&#39;s favorite sport.<br />
Tetris was the first entertainment software to be exported from the Soviet Union to the US, where it was published by Spectrum HoloByte for Commodore 64 and IBM PC. The Tetris game is a popular use of tetrominoes, the four-element special case of polyominoes. Polyominoes have been used in popular puzzles since at least 1907, and the name was given by the mathematician Solomon W. Golomb in 1953. However, even the enumeration of pentominoes is dated to antiquity.<br />
The game (or one of its many variants) is available for nearly every video game console and computer operating system, as well as on devices such as graphing calculators, mobile phones, portable media players, PDAs, Network music players and even as an Easter egg on non-media products like oscilloscopes. It has even inspired Tetris serving dishes and been played on the sides of various buildings.<br />
While versions of Tetris were sold for a range of 1980s home computer platforms as well as arcades, it was the hugely successful handheld version for the Game Boy launched in 1989 that established the game as one of the most popular ever. Electronic Gaming Monthly&#39;s 100th issue had Tetris in first place as &quot;Greatest Game of All Time&quot;. In 2007, Tetris came in second place in IGN&#39;s &quot;100 Greatest Video Games of All Time&quot;. In January 2010, it was announced that the Tetris franchise had sold more than 170 million copies, approximately 70 million physical copies and over 100 million copies for cell phones, making it the best selling paid-downloaded game of all time. On 14 March 2014, The Tetris Company announced a deal to bring Tetris to two of the latest hardware platforms, the Xbox One and PlayStation 4, in partnership with Ubisoft (publishing) and SoMa Play (development), to coincide with the franchise&#39;s 30th anniversary."
17,Duck Hunt,Shooter,NES,Nintendo,,1985.0,4.14,"Duck Hunt (Japanese: ダックハント, Hepburn: Dakku Hanto) is a light gun shooter video game developed and published by Nintendo for the Nintendo Entertainment System (NES) video game console. First released in Japan on April 21, 1984, it was later released on October 18, 1985 in North America as a launch game for the NES, and on August 15, 1987 in Europe. The game was released as a Virtual Console title for the Wii U in 2014.
In Duck Hunt, players use the NES Zapper to shoot ducks that appear on the television screen. The ducks appear one or two at a time, and the player is given three shots to shoot them down. The player receives points upon shooting each duck. If the player shoots the required number of ducks in a single round, the player will advance to the next round; otherwise, the player will receive a game over.
The game initially received few reviews, but was given mild critical praise and elicited a positive gamer reaction. Prior to the NES version, Nintendo also made a Duck Hunt game based on Laser Clay Shooting System released in 1976. It was later a pack-in game, paired with Super Mario Bros.; the pack later also included World Class Track Meet."
18,Wii Play,Misc,Wii,Nintendo,5.9,2007.0,3.34,"
      Bundled with a Wii Remote, Wii Play offers a little something for 
      everyone who enjoyed the pick-up-and-play gaming of Wii Sports.
    
      Wii Play is made up of nine games that will test the physical and mental 
      reflexes of players of all ages.
    
      Whether you pick up the Wii Remote to play the shooting gallery that 
      harkens back to the days of Duck Hunt or use it to find matching Miis, a 
      world of fun is in your hands!
    
      In addition to the shooting gallery and Mii-matching game, Wii play 
      offers billiards, air hockey, tank battles, table tennis rally, Mii 
      poses and a cow-riding race.
    "
19,Kinect Adventures!,Party,X360,Microsoft Game Studios,6.7,2010.0,3.36,"(Online Interactions Not Rated by the ESRB)  The Games on Demand version supports  English, French, Italian, German, Spanish, Potuguese, Russian, Japanese, Korean, Chinese.  Kinect Adventures! is a full-featured Kinect game where you and your friends will explore the world – and beyond – through 20 active adventures to achieve the ultimate reward: Expert Adventurer status! Jump, duck and dodge your way through roaring rapids and challenging obstacle courses. Use your skills to save a leaky underwater laboratory. Get creative by showing off and sharing your accomplishments online with Photo Moments and Living Statues.  The spirit of adventure awaits!"
20,Nintendogs,Simulation,DS,Nintendo,8.4,2005.0,3.64,Nintendogs: Labrador &amp; Friends is a game for the Nintendo DS released in 2005. It is known as Nintendogs: Lab &amp; Friends in North American regions and Nintendogs: Shiba &amp; Friends in Japan.
21,Mario Kart DS,Racing,DS,Nintendo,9.1,2005.0,4.21,"
      Race along with Mario and his friends in five single-player modes and 
      over 30 courses. Knock out the competition with your driving skills as 
      you rocket-start the race, use drifting and turbos at critical points, 
      and deploy crazy items to gain an advantage.
    
      Get ready for total shell-tossing mayhem! Choose one of 12 Nintendo 
      characters as you race through challenging tracks that become even more 
      so with deployable items at your disposal. Enlist in the Grand Prix for 
      the trophy prize in eight different cups. Start a Time Trial, and try to 
      best your fastest time with your own ghost. Play against a 
      computer-controller kart in VS mode for a quick race. Try out some fun 
      kart minigames like Balloon Battle and Shine Runners in Battle mode. Or 
      try clearing some Missions to practice your technique in becoming the 
      ultimate Mario Kart racer!
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
23,Mario Kart 8 Deluxe,Racing,NS,Nintendo,9.3,2017.0,4.36,"Hit the road with the definitive version of Mario Kart 8 and play<br />
anytime, anywhere! Race your friends or battle them in a revised battle<br />
mode on new and returning battle courses. Play locally in up to 4-player<br />
multiplayer in 1080p while playing in TV Mode. Every track from the Wii<br />
U version, including DLC, makes a glorious return. Plus, the Inklings<br />
appear as all-new guest characters, along with returning favorites, such<br />
as King Boo, Dry Bones, and Bowser Jr.!
Features:
Race your friends in the definitive version of Mario Kart 8, only on<br />
Nintendo Switch!
Race as every character on every track from the Wii U version,<br />
including DLC characters and tracks.
Pop some balloons in the revamped Battle mode, complete with Balloon<br />
Battle and Bob-omb Blast.
Battle on new courses, like Urchin Underpass and Battle Stadium, or<br />
returning ones, such as GCN Luigi&#39;s Mansion and SNES Battle Course 1.
Inkling Girl &amp; Inkling Boy from Splatoon, King Boo, Dry Bones, and<br />
Bowser Jr. join the roster!
Players can choose a new Smart Steering feature which makes driving<br />
and staying on the track easy for novice players and kids even at 200cc
Three new vehicles have been added, two are even inspired by Splatoon
Carry two items at the same time
Returning items include Boo, the item stealing ghost, and the Feather,<br />
which gives you a high jump in battle mode.
Play your friends in local wireless multiplayer with up to 8 players.
Drive through in 1080p HD quality in TV mode
Play on the go with handheld mode and play anytime, anywhere"
24,Wii Fit,Sports,Wii,Nintendo,7.9,2008.0,3.68,"
      * Control on-screen action with your movements on the balance board as 
      you work your way through a variety of challenges aimed at getting you 
      off the couch and into the action. Check your Body Mass Index (BMI), see 
      your Wii Fit Age and keep tabs on your daily progress towards a more fit 
      for you.
    
      * Get fit with more than 40 activities and exercises, including strength 
      training, aerobics, yoga and balance games. Whether you're doing a yoga 
      pose or snowboarding down a slalom course, there's an activity for 
      everyone.
    
      * Challenge your family and friends to get in shape! Create your own 
      personal profile and set goals, test your balance, track your progress 
      with daily workouts and unlock new exercises and activities.
    "
25,Wii Fit Plus,Sports,Wii,Nintendo,8.0,2009.0,3.62,"
      Wii Fit™ attracted millions of new players to the world of video 
      games. Now Wii Fit Plus offers a range of new features and 
      enhancements to help players reinvigorate their workouts, along with 
      exercises and balance games designed to keep them fun. Players will find 
      a new dimension to the Wii Fit experience as they easily set 
      their own customized workout routines or choose 20-, 30- or 40-minute 
      workouts based on how much time they have available. Users will also be 
      able to choose from specialized workout routines that focus on an 
      individual's personal fitness goals or certain target areas. And with 
      the addition of activities like Skateboarding and Rhythm Kung Fu, 
      players will be using the Wii Balance Board™ accessory in a variety of 
      new and fun ways.
    <ul>
<li>
        Workouts combine the original Wii Fit activities and selections 
        from 15 new balance games and six new strength training and yoga 
        activities.
      </li>
<li>
        Users can input the amount of time they want to spend on their 
        workouts or select an area for personal improvement, and Wii Fit 
        Plus will suggest a number of diverse activities for them.
      </li>
<li>
        For the first time, users can mix and match which strength and yoga 
        activities they prefer on a given day. The seamless exercise flows 
        make it easier than ever for users to maintain their daily workout 
        routines.
      </li>
<li>
        Users might be asked to run an obstacle course across a series of 
        platforms, zoom across a beach on a Segway® x2 Personal Transporter or 
        flap their arms to help their hilarious chicken-suited characters aim 
        for targets.
      </li>
<li>
        The range of games and customization options will make players want to 
        play every day. They'll be having so much fun that their workouts will 
        seem to fly by in no time at all.
      </li>
<li>
        Players also can see estimates of calories burned and can even 
        activate a feature that lets them weigh their dogs or cats.
      </li>
<li>
        Wii 
        Fit Plus comes packaged with the Wii Balance Board accessory. 
        For people who already own Wii Fit, the Wii Fit Plus 
        disc will be available for purchase separately.
      </li>
</ul>"
26,Super Mario World,Platform,SNES,Nintendo,8.5,1991.0,4.35,"During a vacation in Dinosaur Land, Princess Toadstool gets kidnapped<br />
and a spell is cast on the inhabitants of the island. When they stumble<br />
upon Yoshi™, a young dinosaur, Mario™ and Luigi™ learn that Bowser™ is<br />
responsible for the terrible misdeeds. Now, Yoshis are trapped in<br />
magical eggs that Bowser has hidden throughout seven castles. Many<br />
hidden paths aid Mario in making his way to Bowser&#39;s castle, completing<br />
74 areas, and finding all 96 exits. Discover items, including a feather<br />
that gives Mario a cape that allows him to fly and a flower that lets<br />
him shoot fireballs, in layers upon layers of 2-D scrolling landscapes.<br />
You can even ride Yoshi and swallow your enemies!<br />
This game is only playable in 2D.This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. See more Virtual Console games for Nintendo 3DS."
27,Grand Theft Auto V,Action,PS3,Rockstar Games,9.4,2013.0,4.48,"Rockstar Games went bigger, since their previous installment of the series. You get the complicated and realistic world-building from Liberty City of GTA4 in the setting of lively and diverse Los Santos, from an old fan favorite GTA San Andreas. 561 different vehicles (including every transport you can operate) and the amount is rising with every update. <br />
Simultaneous storytelling from three unique perspectives: <br />
Follow Michael, ex-criminal living his life of leisure away from the past, Franklin, a kid that seeks the better future, and Trevor, the exact past Michael is trying to run away from. <br />
GTA Online will provide a lot of additional challenge even for the experienced players, coming fresh from the story mode. Now you will have other players around that can help you just as likely as ruin your mission. Every GTA mechanic up to date can be experienced by players through the unique customizable character, and community content paired with the leveling system tends to keep everyone busy and engaged."
28,Devil May Cry,Action,PS2,Capcom,9.1,2001.0,4.09,"Debuting in 2001, Devil May Cry® is the game that redefined the action genre with its stylish combo system and over-the-top, non-stop action. Wielding twin handguns and a demonic blade, the iconic white-haired devil hunter Dante slashes through legions of monstrous minions in a battle to save humanity from utter damnation."
30,Brain Age: Train Your Brain in Minutes a Day,Misc,DS,Nintendo,8.1,2006.0,3.62,"
      Brain Age: Train Your Brain in Minutes a Day is a fun, rewarding form of 
      entertainment everyone can enjoy, as it helps players flex their mental 
      muscles. Brain Age is inspired by the research of Dr. Ryuta Kawashima, a 
      prominent Japanese neuroscientist. His studies evaluated the impact of 
      performing certain reading and mathematic exercises to help stimulate 
      the brain.
    
      Brain Age presents quick mental activities that help keep your mind in 
      shape. Activities include quickly solving simple math problems, counting 
      people going in and out of a house simultaneously, drawing pictures on 
      the Touch Screen, reading classic literature out loud, sudoku and more!
    This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. We hope you'll enjoy the new features (including off-TV play) that have been added to this title. See more Virtual Console games for Wii U."
31,Mario Kart 7,Racing,3DS,Nintendo,8.2,2011.0,4.03,"
      The newest installment of the fan-favorite Mario Kart™ franchise brings 
      Mushroom Kingdom racing fun into glorious 3D. For the first time, 
      drivers explore new competitive kart possibilities, such as soaring 
      through the skies or plunging into the depths of the sea. New courses, 
      strategic new abilities and customizable karts bring the racing 
      excitement to new heights.
    
      FEATURES:
    <ul>
<li>
        The Mario Kart franchise continues to evolve. New kart abilities add 
        to the wild fun that the games are known for. On big jumps, a kart 
        deploys a wing to let it glide over the track shortcut. When 
        underwater, a propeller pops out to help the kart cruise across the 
        sea floor.
      </li>
<li>
        Players can show their own style by customizing their vehicles with 
        accessories that give them a competitive advantage. For instance, 
        giant tires help a kart drive off-road, while smaller tires accelerate 
        quickly on paved courses.
      </li>
<li>
        People can choose to race as one of their favorite Mushroom Kingdom 
        characters or even as their Mii™ character.
      </li>
<li>
        New courses take players on wild rides over mountains, on city streets 
        and through a dusty desert. Nintendo fans will recognize new courses 
        on Wuhu Island and in the jungles from Donkey Kong Country™ Returns.
      </li>
<li>
        The game supports both SpotPass™ and StreetPass™ features.
      </li>
<li>
        Players can compete in local wireless matches or online over a 
        broadband Internet connection.
      </li>
</ul>"
32,Super Mario Land,Platform,GB,Nintendo,,1989.0,3.92,"Ancient ruins, giant crabs, Koopa Troopas, flying stone heads, and<br />
hungry sharks await you in this 1989 Game Boy game.
In the beautiful kingdom of Sarasaland, a mysterious alien has appeared<br />
and hypnotized the inhabitants, while kidnapping Princess Daisy for<br />
himself!
Travel over land, in the air, and underwater, as Mario runs, jumps, and<br />
bounces his way to fortune and glory on his mission to save Princess<br />
Daisy and restore peace!
Ancient ruins, tempestuous waters, and brand new challenges await!"
33,Super Smash Bros. Ultimate,Fighting,NS,Nintendo,9.4,2018.0,4.38,"Super Smash Bros. Ultimate is the fifth game in its franchise. It is also the first game in its series to be released for Nintendo Switch.
<h3>Premise</h3>
The series is a crossover of characters from various video game franchises, such as The Legend of Zelda, Pokemon, Sonic the Hedgehog, Super Mario, Metroid, and Mega Man, among many others. Their famous protagonists fight each other on an arena. In accordance with its name, the game is the “ultimate” installment of the series, in that it offers the players all the characters ever featured in Super Smash Bros. The game also introduces five new characters, most famously, Castlevania&#39;s Simon Belmont.
<h3>Gameplay</h3>
Unlike most fighting games, Super Smash Bros. series is built around knocking opponents out of the arena rather than lowering their health bars. However, the damage meter increases the character&#39;s chances to be knocked out. Each fighter has a limited number of lives and loses one when he or she is knocked out. The player is eliminated when he or she loses all lives.
<h3>Multiplayer</h3>
Super Smash Bros. Ultimate includes several competitive multiplayer modes. Besides the traditional versus mode, there are several new modes not featured in the previous games. These include Tournament (the playoff mode for 32 players), Smash Squad (team multiplayer), Smashdown (a mode in which the defeated characters are eliminated)."
35,Grand Theft Auto: San Andreas,Action,PS2,Rockstar Games,9.5,2004.0,4.44,"Grand Theft Auto - San Andreas is the seventh entry in the series in the GTA franchise, but only second big title after GTA - Vice City. Setting up in fictional state San Andreas, you follow the story of CJ, a member of one of the multiple gangs in the city. CJ&#39;s family is being attacked in drive shooting which resulted in the death of CJ&#39;s mother, so he returns to home from Liberty City. Meeting the rest of the family at his mom&#39;s funeral, he decides to rebuild the gang and gain control of the state.
The game makes a brilliant connection with missions and open world actions that you are able to do around the cities. You can steal cars, buy guns, hunt for collectables and do some side quests, while different characters give you specific missions in order to push the plot forward. Streets are filled with people as well as plenty of vehicles to steal. Fictional brands of cars, tanks, bikes are available to be stolen from any place around the city. Armoury contains pistols, rifles, hand-machine guns or a rocket launcher as well as melee weapons giving player freedom in anything he&#39;s doing in GTA."
36,Super Mario Bros. 3,Platform,NES,Nintendo,,1990.0,4.33,"Remember when no one had ever heard of a Tanooki Suit or knew that<br />
Bowser had a clan of Koopalings? The game that made these things common<br />
knowledge is also considered by many to be one of the best ever made.<br />
Bowser and the Koopalings are causing chaos yet again, but this time<br />
they’re going beyond the Mushroom Kingdom into the seven worlds that<br />
neighbor it. Now Mario and Luigi must battle new enemies, returning<br />
favorites, and a new Koopaling in each unique and distinctive world on<br />
their way to ultimately taking on Bowser himself. Lucky for the<br />
brothers, they have more power-ups available than ever before. Fly above<br />
the action using the Super Leaf, swim faster by donning the Frog Suit,<br />
or defeat enemies using the Hammer Bros. Suit. Use the brand-new<br />
overworld map to take the chance to play a minigame in hopes of gaining<br />
extra lives or to find a Toad’s House where you can pick up additional<br />
items. All this (and more) combines into one of gaming’s most well-known<br />
and beloved titles—are you ready to experience gaming bliss?<br />
This classic game is part of the Virtual Console service, which brings you great games created for consoles such as NES™, Super NES™ and Game Boy™ Advance. See more Virtual Console games for Wii."
37,Garry's Mod,Misc,PC,Unknown,,2004.0,3.72,"Garry&#39;s Mod or simply GMod is a source-engine based modification that now works as a standalone game. With no plot or exact gameplay at all, anyone can create his own game mode to play for fun. You can find anything you&#39;re into. Trouble In Terrorist Town, Prop Hunt, Hunger Games, Franchise-based modes such as Star Wars or Lord of the Rings - anything.
Basically, GMod stands for God Mode in video games, because you can play with any asset of the source engine. Try out physics, characters, maps, weaponry - anything. Based on that, Garry&#39;s Mod gives players quite a variety of mods to spend their time. It doesn&#39;t sound so earnestly. You will probably find something that will provide you with quite a good amount of fun. Servers are specifically sorted in game modes so you&#39;ll never play a different mode while playing exact one what you wanted. At the end of the day, this game is about receiving as much fun from what is happening around you as possible."
